workclass,education,education-years,marital,occupation,relationship,race,sex,hours-per-week,natice-country,income
 Private, Some-college,10, Separated, Exec-managerial, Not-in-family, Black, Female,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,50, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Own-child, White, Male,8, United-States, <=50K
 Private, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,40, United-States, <=50K
 Private, 11th,7, Never-married, Farming-fishing, Unmarried, White, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,44, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, >50K
 State-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K
 Private, Masters,14, Separated, Exec-managerial, Not-in-family, White, Male,60, Iran, >50K
 Private, 12th,8, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K
 State-gov, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, <=50K
 Local-gov, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,40, United-States, <=50K
 Federal-gov, Some-college,10, Married-civ-spouse, Transport-moving, Wife, White, Female,40, United-States, >50K
 Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,24, United-States, <=50K
 State-gov, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Self-emp-not-inc, Some-college,10, Married-spouse-absent, Prof-specialty, Not-in-family, Black, Male,50, United-States, <=50K
 Local-gov, HS-grad,9, Widowed, Adm-clerical, Not-in-family, Black, Female,20, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K
 Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, >50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Local-gov, HS-grad,9, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male,40, United-States, <=50K
 Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female,32, United-States, <=50K
 Private, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,13, United-States, <=50K
 Private, Assoc-voc,11, Separated, Craft-repair, Other-relative, White, Male,48, United-States, >50K
 Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
 Private, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Female,40, United-States, <=50K
 Private, 11th,7, Never-married, Sales, Own-child, White, Female,8, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, >50K
 Private, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Widowed, Sales, Other-relative, White, Female,45, United-States, <=50K
 Self-emp-not-inc, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White, Male,30, United-States, <=50K
 Private, Some-college,10, Married-spouse-absent, Sales, Not-in-family, White, Male,45, Mexico, <=50K
 Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,50, England, >50K
 Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, >50K
 Local-gov, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,25, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,36, Haiti, <=50K
 Federal-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K
 State-gov, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,80, United-States, >50K
 Self-emp-inc, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Tech-support, Wife, White, Female,40, United-States, >50K
 Private, 9th,5, Never-married, Craft-repair, Other-relative, Black, Male,49, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,52, Japan, >50K
 Private, 11th,7, Divorced, Craft-repair, Own-child, White, Male,8, United-States, <=50K
 Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,30, United-States, <=50K
 Private, Some-college,10, Never-married, Adm-clerical, Other-relative, White, Female,16, United-States, <=50K
 Private, Some-college,10, Never-married, Protective-serv, Own-child, White, Female,16, United-States, <=50K
 Local-gov, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,25, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, >50K
 Private, 10th,6, Never-married, Prof-specialty, Own-child, Other, Female,15, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,40, United-States, <=50K
 Private, HS-grad,9, Separated, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, <=50K
 Federal-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, United-States, >50K
 Self-emp-not-inc, HS-grad,9, Never-married, Prof-specialty, Own-child, Black, Female,40, United-States, <=50K
 Self-emp-not-inc, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Federal-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,40, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, <=50K
 Self-emp-not-inc, 7th-8th,4, Married-civ-spouse, Sales, Husband, White, Male,35, United-States, >50K
 Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, Some-college,10, Never-married, Exec-managerial, Own-child, White, Male,45, United-States, <=50K
 Private, 10th,6, Divorced, Machine-op-inspct, Unmarried, White, Female,40, United-States, <=50K
 Local-gov, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Divorced, Exec-managerial, Unmarried, Black, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, <=50K
 Private, 7th-8th,4, Divorced, Other-service, Other-relative, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-spouse-absent, Farming-fishing, Other-relative, Black, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Federal-gov, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
 Private, Masters,14, Divorced, Sales, Not-in-family, White, Male,28, United-States, <=50K
 Private, 11th,7, Never-married, Transport-moving, Own-child, White, Male,39, United-States, <=50K
 Private, Bachelors,13, Never-married, Machine-op-inspct, Other-relative, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,8, Cuba, <=50K
 Local-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Never-married, Adm-clerical, Other-relative, Black, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Private, Masters,14, Never-married, Machine-op-inspct, Not-in-family, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,45, United-States, >50K
 Private, Bachelors,13, Never-married, Prof-specialty, Unmarried, White, Female,40, United-States, <=50K
 Local-gov, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,30, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Poland, <=50K
 Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,60, United-States, <=50K
 Private, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White, Male,40, Mexico, <=50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,30, United-States, <=50K
 Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,30, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,40, Jamaica, >50K
 Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Local-gov, 7th-8th,4, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K
 Private, 12th,8, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 State-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,35, United-States, <=50K
 Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, England, >50K
 Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Male,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,60, Vietnam, <=50K
 Self-emp-inc, HS-grad,9, Never-married, Sales, Own-child, White, Male,50, United-States, <=50K
 Local-gov, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,42, United-States, >50K
 Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Scotland, >50K
 Private, Some-college,10, Divorced, Exec-managerial, Unmarried, Black, Female,50, United-States, <=50K
 Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Other, Female,40, United-States, <=50K
 Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,30, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, <=50K
 Local-gov, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K
 Self-emp-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,42, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Self-emp-not-inc, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,30, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Self-emp-not-inc, Prof-school,15, Divorced, Prof-specialty, Unmarried, White, Female,44, United-States, >50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, >50K
 Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,45, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, >50K
 Private, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,40, Philippines, <=50K
 Private, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, Black, Female,40, United-States, <=50K
 Local-gov, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,55, United-States, >50K
 Self-emp-not-inc, Some-college,10, Divorced, Machine-op-inspct, Unmarried, White, Male,40, United-States, <=50K
 Self-emp-not-inc, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Male,50, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K
 Local-gov, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K
 Private, 11th,7, Never-married, Sales, Not-in-family, White, Female,40, United-States, <=50K
 Federal-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Private, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,32, United-States, <=50K
 Private, 12th,8, Never-married, Exec-managerial, Not-in-family, White, Male,42, England, <=50K
 Private, HS-grad,9, Separated, Sales, Unmarried, White, Female,48, United-States, <=50K
 Self-emp-not-inc, Some-college,10, Separated, Other-service, Unmarried, Black, Female,50, United-States, <=50K
 Private, HS-grad,9, Separated, Exec-managerial, Own-child, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
 Private, 5th-6th,3, Never-married, Farming-fishing, Unmarried, White, Male,48, Guatemala, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,48, United-States, <=50K
 Private, Assoc-voc,11, Never-married, Craft-repair, Unmarried, White, Male,50, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K
 Federal-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
 Self-emp-not-inc, Prof-school,15, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, <=50K
 Self-emp-inc, 9th,5, Divorced, Sales, Not-in-family, White, Male,45, United-States, <=50K
 Local-gov, Masters,14, Never-married, Prof-specialty, Own-child, White, Female,55, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
 Private, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, Black, Female,40, Jamaica, <=50K
 Private, 7th-8th,4, Divorced, Machine-op-inspct, Unmarried, White, Female,40, United-States, <=50K
 Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,60, India, >50K
 Private, 10th,6, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,20, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Other-relative, White, Male,35, Ireland, <=50K
 Private, 5th-6th,3, Widowed, Other-service, Unmarried, White, Male,20, United-States, <=50K
 Self-emp-not-inc, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,50, United-States, >50K
 Private, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,40, Japan, >50K
 Private, Masters,14, Never-married, Adm-clerical, Not-in-family, White, Female,20, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,37, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
 Self-emp-not-inc, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,84, United-States, <=50K
 Private, 9th,5, Never-married, Other-service, Own-child, White, Female,35, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,50, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
 Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,30, United-States, >50K
 Private, HS-grad,9, Never-married, Sales, Unmarried, Black, Female,24, United-States, <=50K
 Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
 Private, 12th,8, Never-married, Other-service, Own-child, White, Female,25, United-States, <=50K
 Private, Preschool,1, Married-civ-spouse, Prof-specialty, Husband, Other, Male,30, Mexico, <=50K
 Private, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Male,55, United-States, >50K
 Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
 Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,20, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
 Private, Some-college,10, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
 Private, Some-college,10, Never-married, Handlers-cleaners, Other-relative, White, Male,20, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,65, United-States, <=50K
 Private, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Machine-op-inspct, Own-child, Black, Female,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,25, Jamaica, <=50K
 Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,10, United-States, <=50K
 State-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,40, United-States, >50K
 Private, Some-college,10, Never-married, Transport-moving, Unmarried, White, Female,20, Puerto-Rico, <=50K
 Federal-gov, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, 9th,5, Never-married, Farming-fishing, Other-relative, White, Male,45, Mexico, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,65, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K
 Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,10, United-States, <=50K
 Local-gov, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, <=50K
 State-gov, 10th,6, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,14, United-States, <=50K
 Local-gov, Some-college,10, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,50, United-States, <=50K
 Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,67, India, >50K
 Private, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,55, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White, Female,36, United-States, <=50K
 Private, 11th,7, Divorced, Sales, Unmarried, White, Female,20, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,40, United-States, <=50K
 Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,15, United-States, <=50K
 Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,38, United-States, <=50K
 Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,65, United-States, >50K
 Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K
 Self-emp-not-inc, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,55, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,16, United-States, <=50K
 Local-gov, Doctorate,16, Widowed, Prof-specialty, Unmarried, White, Female,40, United-States, <=50K
 Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Divorced, Tech-support, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Divorced, Other-service, Not-in-family, White, Male,25, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, >50K
 Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Local-gov, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Female,60, United-States, >50K
 Self-emp-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, >50K
 Private, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,45, United-States, <=50K
 State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,45, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, Cambodia, >50K
 Private, HS-grad,9, Never-married, Sales, Own-child, Black, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,55, United-States, <=50K
 Self-emp-not-inc, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,60, United-States, <=50K
 Self-emp-inc, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,45, United-States, <=50K
 Private, 11th,7, Never-married, Other-service, Other-relative, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Separated, Other-service, Other-relative, White, Female,20, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, <=50K
 Self-emp-not-inc, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,30, United-States, <=50K
 Private, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,45, United-States, <=50K
 Private, HS-grad,9, Divorced, Machine-op-inspct, Other-relative, White, Female,55, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 Private, 1st-4th,2, Married-spouse-absent, Farming-fishing, Other-relative, White, Male,77, Mexico, <=50K
 Local-gov, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, White, Male,53, United-States, >50K
 Private, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,70, Mexico, <=50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, >50K
 State-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K
 State-gov, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,55, United-States, <=50K
 Private, HS-grad,9, Widowed, Sales, Unmarried, White, Female,32, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,40, United-States, <=50K
 Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,45, United-States, >50K
 Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Other-service, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-spouse-absent, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K
 Private, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Federal-gov, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
 Federal-gov, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Female,40, United-States, <=50K
 Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Separated, Craft-repair, Own-child, White, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K
 Private, 11th,7, Married-civ-spouse, Protective-serv, Husband, White, Male,55, United-States, <=50K
 Private, Assoc-voc,11, Separated, Prof-specialty, Not-in-family, White, Female,40, Dominican-Republic, <=50K
 Self-emp-not-inc, Assoc-voc,11, Divorced, Exec-managerial, Not-in-family, White, Female,50, United-States, <=50K
 Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Black, Male,35, United-States, >50K
 Local-gov, Bachelors,13, Divorced, Prof-specialty, Unmarried, Black, Female,42, United-States, <=50K
